Projects
16340-Independence-Ash Creek Drainage
16341-Independence-Hemlock Overlay
16343 Lincoln City Parks Master Plan
16344-DRH-Weatherview Feasibility
16345-LNW-Gross Property
16346-Middlecrest
16347-12600 Germantown Road
16348-Sunbreak Lot 4 SS Xsections
16349-3400 Building McMinnville
16350-136th Avenue Feasibility
16351_Tanner Ridge at Rosemont
16352-Parkview Independent Living
16353-Lee Property
16354-Basalt Creek
16355-Washington County APS
16356-Mill Midland Park Master Plan
16357-Kaplan Property
16358-Ingebrigtsen Land Division
16359-Tillamook County Fairground
16360-2016 Independence Waterline
16361-Highlands Lot 12
16362-HMT Soccer Fields
16363-LRS-17th and Holgate
16364- HWY 224
16365-Tualatin Floodplain Amendments
16366-Shaw Street Comprehensive Plan Amendment
16367-Apache Camping Center
16368-THPRD-Madrona Woods
16369-Mercedes Benz of Wilsonville - Land Use Options
16370-Womens Healthcare Gateway
16371-Beaverton Menlo Sidewalk
16373-Roseburg-Black Ave Extension
16374-Grande Hot Springs Comprehensive Plan Amendment
16375-11365 SW Capitol
16376-Highway 212 Commercial Zone Change
16377-North Albany Zone Change
16378-PGE Harborton
16379- The Hideaway
16380-MLG-Fox Hollow
17381-Cannery Plaza Restroom Design Review
17382-91st Avenue Site Feasibility
17383 -SW 74th Street
17384-The Sunningdale Partition
17385-NW Walker Road 173rd to 185th
17386-Confluent-MorningStar Happy Valley
17387-Blue Lake Regional Park FCA
17387.20-Blue Lake Fire Supply
17388-Oxbow Regional Park FCA
17389-Cherry Park CPA
17390-Temco-Mather Rd Development
17391-Corridor Court Partition
17392-David Hill Road TCP
17393-JTS-Crestview Crossing
17393.60-JTS-Crestview Multifamily
17394-Regency Gresham
17395-ADS University District Ped Bridge
17396-Creekside Village SD
17397-HSD 2017 Bond Estimating
17398-Milwaukie High and Lake Road Sports Complex
17400-Verboort
17401-Moore-McMinnville Gas
17402-PBOT-On-Call Plan Review
17403-Rowe Middle School Planning
17404-CoT-Blue Lot
17405-62nd Avenue Site Feasibility
17406-Sloop Annexation
17407-Covington Park
17408-4937 SW Nevada Ct
17409-Lincoln County Fairground
17410-SW Hartley Rd
17411-Rowe MS Modernization
17412-Sherwood SD Aerial Photography
17413-Timbers Practice Facility
17414-Suncrest Partition
17415-SW 90th Ave
17416-Kangas Apartments
17417-Menefee Drive
17418-HSD-Brookwood ES Replacement
17420-THPRD Commonwealth Lake Inlet Bridge Replacement
17421-Coquille Comprehensive Plan
17422-Florence EOA_HNA
17424-Oregon City Equitable Housing
17425-PGE Marquam Outreach
17426-Redmond Neighborhood Revitalization
17427-Sherwood West 2018 UGB Expansion
17428-Tillamook County SB1517
17429-Villages at Cascade Head Preliminary Master Plan Revision
17430 Sherwood Skate Park Modification
17431-THPRD Raleigh Pool Flood Control
17432-Durham Lot 1700
17433-WASHCO 214th and Johnson
17434-WASHCO 209th and Alexander
17435-WASHCO URMD-Thompson Road
17436-HDR Solar
17437-HSD-Reedville ES
17438-HSD-Playground Standards
17439-Snowy River 2.0 E Barrier
17440-Coos Head Area Master Plan
17441-HSD-Jackson ES Student Drop Off
17442-HSD-Ladd Acres ES Student Drop Off
17443-HSD-McKinney ES Student Drop Off
17444-HSD-Eastwood ES Student Drop Off
17445-GSD-East Orient ES Playground
17446-GSD-Highland ES Playground
17447-GSD-Hogan ES Playground
17448-GSD-Hollydale ES Playground
17449-HSD-Butternut Playground
17450-HSD-Farmington Playground
17451-HSD-West Union ES Playground
17452-HSD-WL Henry ES Playground
17453-HSD-Transportation Satellite Facility
18455-GSD-Powell Valley Playground
18456-N College Street Partition
18458-OR35 Meadows Creek Safety Improvements
18459-NCSD-Rex Putnam HS
18460-HSD-New ES #29
18461-JPR Copeland Subdivision
18462-THPRD Cedar Hills Recreation Center Drainage
18463-JPR-9635 SE 7th Ave Tigard
18464-Beaverton-OnCall
18465-PPS-Modernizations
18466-Forest Hills Luthern Christian Track
18467-North Salem High School
18468-Georgetown Crossing (Rickman)
18469-Sherwood HNA_EOA
18470.10 Clackamas County Fairground Phase II
18471-Ardenwald ES
18473-Sherwood Vision
18474-Clute-Property
18475-HSD-Mooberry ES
18476-HSD-Lenox ES
18477-HSD-Eastwood ES
18478-WASHCO-Plan Review
18479-BSD Sunset Highschool Stadium Bleachers
18480-Biogas Project
18481-HSD-Century HS CTE-Land Use
18482-HSD-Liberty HS CTE-Land Use
18483-HSD-Liberty HS
18484-HSD-Century HS
18485-HSD-Hillsboro HS
18486-HSD-Glencoe HS
18487-121st Ave
18488-Cornelius Town Center
18490-Greenworks-Gateway Green
18491-Opsis HCC53
18492-Vernonia Synthetic Running Track
18493-HSD-Evergreen MS
18494-JPR-Walnut Street
18495-Stafford Urban Reserve
18496-Rose Grove
18497-King-City-UGB
18498-Colvin Court
18499-Sequoia Annexation
18500-HSD Water Quality Reserves
18501-Barfield Flood Plain
18502-Maplewood Covered Play
18503-MHS Parking Lot Addition
18504-Urban Reserves
18505-Black Walnut
18506-MorningStar-Laurelhurst
18507-Riverwood Rd-No Rise Cert
18508-Sherwood Mixed Use Building
18509-West Union Chevron
18510.0-Beavercreek Road Code Update
18510.1-City of Bandon Code Audit
18510.3-City of Salem Code Update
18510.4-City of Springfield Code Audit
18510.5-City of Sutherlin Code Audit
18510.6-City of Talent Code Update
18510.70-Beavercreek Infrastructure Memo
18511-JPR-Hertz Car Storage Beaverton
18512-Riverside Feasibilities
18513-HSD-West Union
18514-JPR-12505 NW Germantown
18515-Washington County Fairgrounds
19516-THPRD-HMT Pickleball Court
19517-PGE Marquam Outreach II
19518-Sherwood Comprehensive Plan
19519-THPRD-Willow Creek Boardwalk Design
19520-Millikan Way
19521-Donegon Autoturn
19522-LCC Ball Fields
19523-LRS-Wood Village City Hall
19525-E Crestview Drive
19526-Stoller Winery Fire Wet Well
19527-Redmond Comprehensive Plan
19528-Lake Co Fairgrounds
19529-Hancock Newport
19530-OCSD-Gardiner Middle School
19531-OCSD-Ogden Middle School
19532-Hartung Partition
19533-SW Riverwood No-Rise Certification
19534-JPR-SW 74th Avenue
19535-NCSD-New Urban HS
19537-AES Solar Sites Hawaii
19538-White Salmon Visioning
19539-9140 SW Arrowwood Drive
19540-SE Morrison
19541-Nelscott Gap
19543-Johnson Road Lot 2
19544-GBSD-Springwater Trail HS Cover
19545-SE City View Dr
19546-Ardenwald Fencing
19547-SE 129th Ave
19548-NW Meacham Rd Residence
19549-Fuller Station
19550-NCSD-Ekert Road
19551-WQ Swales @ Brookwood & Century
19552-Pacific Ridge Apartments
19553-Dallas High School
19554-Ponderosa Pines Subdivision
19555-Florence Master Plan
19556-River Glen Road
19557-Richards Ridge
19558-Camas North Shore Subarea Plan
19559-Parkview Independent Living
19560-Moore-2019 NE Hwy 99 Retail
19561-Scappoose-Manor Dr Water Line Extension
19562-Cooks Residence
19563-AES Hawaii Phase 2 Solar
19564-Reserve at Fern Hill
19565-Banks Apartments
19566-OCSD-Middle School
19567-Woodburn Community Center
19568-UHD-Foster and 162nd
19569-JPR-Hollingsworth Partition Tigard
19570-LRS-Columbia Gorge Outlets Drive-thru
19571-LRS-Leatherman Office
19572-Beaverton-Griffith Waterline Replacement
19573-Oregon State Fair
19574-Seely Lane Multifamily
19575-MHS - CSU Mod
19576-Parkview Memory Care
19577-JTS-75th & Locust 4-lot
19579-WLHS Stadium Expansion
20580-PGE Division Transit Outreach
20581-PGE Outer Division Safety Outreach
20582-Swickard Lynnwood
20585-Gaffney Lane ES
20587-Holcomb ES
20588-Park Place ES
20589-OC High School
20591-St. Helens Industrial Business Park
20592-AES Massachusetts Solar Sites
20593-GPD-GreenSpace Self Storage Portland
20594-Grants Pass Rezone
20595-City of Beaverton Water Inspection
20596_ENGIE-California Solar Battery Microgrid
20597-NCSD-Beatrice Morrow Cannady ES
20598_AES New York Solar Sites
20600-Beaverton-Laurelwood Sidewalk
20601-WASHCO-Justice Services Building
20602-Scappoose-Grabhorn
20603-Juniper Ridge
20604-Beaverton Plan Review
20605-FFA-Monmouth City Hall
20606-JPR Kyle Place
20607-1006 SE Grand
20608-Clark County Housing Study and Action Plan
20609-WSRC Plan Update
20610-Oregon City Urban Renewal Engagement
20611-KAI-Polk County Safe Routes to School
20612_BK58 Antenna Access Road
20613-NCSD-Milwaukie Code Amendment
20614-WLWV-Stafford Warehouse
20615-Blue Lake Park Water and Sanitary Upgrades
20616-Oregon City Comp Plan Part 1
20617-WLWV-Inza Wood MS
20618-WLWV-Dollar Street MS
20620-Hazen Road Subdivision
20621-OCSD-John McLoughlin
20622-Sherwood North
20623-David Douglas HS Master Plan
20624-Forest Grove Oak St Plan
20625-Rupp N College Street Phase 2
20626-137th ADU Drainage Design
20627-URMD-74th Ave-100494
20628-URMD-Alden St-100495
20629-Skyward Solar Site
20630-JPR Feasibilities
20631-McMinnville SD ADA Complaints
20632-Clackamas High School
20634-636 Atwater Residence
20635-WLWV-Cedaroak PS Portable
20636-WLWV-Lowrie PS Portable
20637-Cedar St Drainage
20638-Cedar Oak Primary
20639-Independence Solar Site
20642-JPR Nixon Ave
20643-JPR 5325 NW Laidlaw Road
20644-WLWV-Willamette Primary School
20645-Newberg Code Assistance
20646-Brenneke Residence Deck Expansion
20647-King City Master Plan
20647.10-KTMP Additional Tasks
20648-DLCD Housing Assistance
20649-OCSD Cohort 2
20650-Lynnwood Auto Dealerships
20651-Oak Grove Governance Proj Mgmt
20652-Palisades Marketplace
20653-Tillamook County-Jensen Property Parking Lot
20654-1122 NW Frazier Ct
20655-WACO OPS-Culvert Replacement
20656-AES Garfield County Colorado-Solar Sites
20657-Skyline Partition
20658-Eagle Creek Timber
20659-OC-2021 Waterline Replacement Project
21660-Independence SW Arterial
21661-NW Thompson Road Cost Estimating
21662-Watts Residence
21663-Swegle ES
21664-Manzanita Dune Management
21665-13400 Fielding Stormwater Revisions
21666-22425 SW Boones Ferry Partition
21667- OCSD CTE and STEM Renovations
21668-Forest Grove-City Hall
21669-Cornelius Land Use On Call
21669.10-Cornelius EOA
21670-WACO Ops Culverts-TVWD Relocations
21671 - 88th Business Park
21672-Schlesinger Residence
21673-Legacy Oaks Apartments No-Rise
21674-Caritas Mobile Home Park Expansion
21675-THPRD-Commonwealth Lake Weir Replacement
21676-McMinnville SD
21677-BSD-Mountainside HS Turf Fix
21678-Hampton Reservoir Assessment
21679-Oregon City Comp Plan Part 2
21680-LOSD-LOHS Phase 2C-2D
21681-LOSD-LHS Phase 2C-2D
21682-Doherty Property
21683-URMD Alexander
21684-Holman-Kuni BMW
21685-URMD-Downing
21686-URMD-Meadow
21687-Cowlitz River Waterline Crossing
21688-12989 NW Skyline Blvd
21689-Elk Ridge P7
21690-REACH CDC Glisan Outreach
21691-Katies Corner Subdivision
21692-Gig Harbor-Development Services
21693-OCSD-Candy Lane Elementary
21694-Wiley M49 Partition
21695-Warrenton OnCall Land Use
21696.00-Talent Wildfire Assistance
21696.10-Phoenix Wildfire Assistance
21696.20-Jackson County
21697-Timbers HMT Facility Expansion
21698-Timbers Fanno Creek Facility Expansion
21699-LOSD-River Grove ES Replacement
21700-Feralloy Steel
21701-Crestview Green
21702-8705 Hall Blvd Fire Sprinkler Service
21708-WASHCO Plan Review
21709-Lexus of Portland
21710 Tournament Drive Subdivision
"21711-49670 Surf Road, Neskowin"
21712-Van Village
21714-Newberg HB 2001 Part 2
21715-Windsor Court Condo Plat
21716-HSD Liberty HS CTE Solar
21717-172nd and Scouters Mtn Rd-Roundabout Construction
21718-OC Stormwater Outfall Assessment
21719-Sunnyfield Heights
21720-Salishan Slope Failure
21721-OCSD-Gardiner MS Sign Variance
21722-Portland Golf Club Driving Range
"21723-Machine Specialties, Inc. Partition"
21724-11570 NW West Rd Sewer Extension
21725-Columbia Co OnCall Planning
21726-ODOT Region 2 PI
21727-HB 2001-2021
21728-Tualatin River Greenway Trail
21729-Alder Street Dundee Sections
21730-SE Clipper Lane Improvement
21731-JPR-Oaknoll Residence
21732-Bieker Due Dilligence
21733-N Libra Street Storm Improvements
21734-3801 SW 90th Ave Partition
21735-15534 Martins St Partition
21736-Oregon City 2022 Waterlines
21737-Carlton Comprehensive Plan
21738-Medix Warrenton
21739-Boyd-6915 SW 32nd Ave
21740-Lacamas Crossing
21741-Sandy Comprehensive Plan
21742-Fort Pointe Sanitary
21743-DLCD HB 2003
21744-Canby HPS
22745-Redmond HB 2001 Audit
22746-Metro Walker Crossing
22747-Scappoose 50-Year Plan
22748-Rockaway Beach Current Planning
22749-Gearhart UGB Swap
22750-Bay City Current Planning
22751-Garibaldi Current Planning
22752-Salem Comp Plan Adoption
22753-St. Charles Louisiana Comp Plan
"22754-Kosciusko County, IN Comp Plan"
22755-Ashland On-Call Planning
22756-K-Town Korean BBQ Beaverton
22757-Skyward Solar EC Inspections
22758-L & D Race Tech Shop
22759-Alderbrook Golf Course Redevelopment
22760-BSD Southridge HS Softball Drainage
22761-Bailey Hill Road at Bertelsen Road
22762-Sunrise Water Authority 3x Waterline Replacement Projects
22763.10-Coos County Coordinated Plan
22763.20-CIT Coordinated Plan
22764-16624 Roosevelt Ave Partition
22765-Crestview Crossing CDH 1200-C
22766-Newberg SAIL
22767-I&E Construction-Due Diligence
22768-WLWV Frog Pond ES
22769-Grand Prairie Drainage Options
22770-Newberg Multifamily Code Audit
22771-BSD Admin Drainage
22772-CC-Laurie Ave Drainage Study
22773-LOSD-Uplands ES Modulars
22774-LOSD-LOMS Replacement
22775-Parkrose SW Monitoring Plan Update
22776-Coquille BLI
22777-Kaplan Property
22778-Jackson County On-Call Land Use
22779-West Tualatin View Elementary Drainage
22780-IE-Dark Horse Storage
22781-Clark Mill Rd Drainage Analysis
22782-Graham Rd No Rise Certification
22783-THPRD-Permanent Restroom Additions
22784-Sisters Parks
22785-Westwood-Main Street
22786-Enterprise HNA
22787 SW Hillshire Drive
22788-Harris Property
22789-Jaster Property
22790-Gig Harbor- Development Services
22791-Alden Apartments
22792-Scholls-Allen Chevron
22793-I&E-Chateau Vineyard Apartments
22794-IE-Erickson Apartments
22795-Elk Creek Timber Expansion
22796-Parrott Creek
22797-Coos Bay HPS
22798-Swickard-BMW Lynnwood
22799-Clackamas County Fairground-Multi Purpose Building
22800-Bear Creek-Hwy 99 Corridor
22801_18805 Willamette Drive
22802-Baron Residence-EC
22803-Coquille On Call Planning
22804-Bandon BLI
22805-Scappoose Food Cart Pod
22806-CFEC Public Engagement
22807-JTS-Brown's Farm Mixed Use
22808-Bridger ES Mech Upgrades
22809-Kelly ES Mech Upgrades
22810-Sandy Focus Area Concept Plan
22811-The Residences at Apache Trail
22812-Cannon Beach Effluent Mixing Study
22813-LRS-Dick Hannah VW
22814-Benchmark Hubbard Site
22817-Hillsboro StoryMap
22818-JPR-Reimann Residence
22819-LOSD-LOHS Visitor Bleachers
22820-WASHCO Plan Review
22821-Amity High School Renovations
22822-Frog Pond Neighborhood Park
22823-Gig Harbor-Storm Manual Update
22824-DSL Rulemaking Facilitation
22825-HSD Transportation Services - Storm Water Pond Analysis
22826 Mohave Co Housing
22827-BSD-Horse Barn ES Demo
22828 Gladstone Planning
22829-JTS-Crestview Crossing 196-Apartments
22830-LRS Beaverton Hyundai
22831-Boones Ferry Chevron
22832-PPS Reike ES
22833-Brookwood Fire Station
22834-Tualatin Veterans Plaza
22835-Gresham Pleasant Valley Plan
22836-PPS Duniway ES
22837-Marble Solar Site EC Inspections
22838-LRS-Mercedes Benz Wilsonville
23839-Gladstone On-Call
23839.21 Gladstone Town Center
23840-Wallace Solar EC Inspections
23841-Auburn Solar EC Inspections
23842-NCSD Modulars
23843-Roseburg UGB Swap
23844-McMinnville Public Facility Evaluation
23845.10 Canby Comp Plan and TSP
23845.20-Canby Comp Plan and TSP
23846_Sheridan Solar Site
23847-BSD-Westview HS-Pride Plaza
23848-Chevron Cornelius Car Wash
23849-HECO3-Kuihelani Phase 2
23850-HECO3-Haleakala Ranch Anawio
23851-HECO3-Haleakala Ranch Puu Hao
23852-Process-Winchell Apartments
23853-Wilda West Linn House
23854-Park at Merryfield Trail
23855-Willamette Falls Drive Scour
23856-David Douglas HS-CTE
23857-BSD-Stoller MS Addition
23858-CC-Borland Road Ped Concept
23859-Manzanita Current Planning
23860-Lewis Residence
23861-Smith Residence
23862-L&D Annex
23863-Hillsboro Downtown Streets Project
23864-NW Martin Partition
23865-Seaside Comp Plan
23866-Beaverton-SW Division Valve Design
23867-Amity ES Portable Classroom
23868-JPR NW Roanoke Lane Residence
23869 DLS Div 89 RAC Facilitation
23870-NCSD-MHS Parking Modification
23871-Thiessen Rd Culvert
23872-GH-50th RRFB
23873-Cain-Pacific Ave Food Carts
23874-Cain-Baseline Food Carts
23875-Herrick Residence
23876-Harris-4860 SE 82nd
23877-NE 122nd Ave Chevron
23878-HECO3 Keamuku H&H
23879-HECO3 Kuihelani 2 H&H
23880-Holman-Lexus PDX Employee Lot
23881-West Kauai Solar Site
23882-GIS Support
23883-Cornelius Community Vision
23884-Witch Hazel Swk
23885.70-Kaybern and 309th Estimate
23886-12505 NW Germantown Residence
23887-Gladstone Transportation Facility
23888 Ridgefield Comp Plan
23889-Tualatin-Little Woodrose Park
23890-Tualatin-Victoria Woods Staircase
23891-24362 SW Baker Rd Culvert
23892-Yakima Annexation Growth Study
23893-Tualatin River Greenway Trail Extension
23894-Scholls Ferry & Tile Flat
23895-Providence Newberg Partition
23896-OCSD-Administrative Office
23897-Tualatin Professional Services
23898-OCSD Pre-Bond Planning Assistance
23899-NCSD-Beatrice Morrow Cannady Modular
23900-Camas Comp Plan
23901-Roseburg Sunshine Park Annexation
23902-7500 SW Dartmouth St
23903-Coquille GIS
23904 HECO3 Kahana H&H
23905-BSD-Cooper Mountain ES
23906-BSD-Allen Transportation
23907-BSD-Oak Hills ES
23908.10-Metro PM-Clackamas Co Code
23908.20-Metro PM-Portland Eastbank
23908.30-Metro PM-Oregon City Beavercreek Rd
23908.40-Metro PM-Portland Industrial Sites
23908.50-Metro PM-Wilsonville Basalt Creek
23909-Rivianna Beach
23910-Perth Envision Tomorrow
23911-WPR Murase Plaza ADA
23912-Warrenton Current Planning
23913-3809 NE Springbrook Rd Subdivision
23914-Lab-Luna Solar Stormwater
24915-Paden Property
24916-Milwaukie - Oak & 37th Railway Crossing
24917-Cooper Mountain Kennel
24918-La Pine Comprehensive Plan
24919-Cain Petroleum Projects
24920-AFC Urgent Care
24921-NCSD-New Elementary School
24922.10-Ashland CFA Code
24922.20-Central Point CFA Code
24922.30-Clatsop Co Housing Inventories
24922.40-Eagle Point CFA Code
24922.50-Molalla HPS & UGB Expansion
24922.60-Tillamook County Middle Housing Code
24922.70-Warrenton Middle Housing Code
24922.80 Columbia County Infrastructure Gap Analysis
24922.90-Ashland MFD Park Code
24923-Gig Harbor-Peacock Hill
24924-DLCD CAUTAC Facilitation
24925-SE Huffman Widening
24926-Gig Harbor-Olympic Dr
24927-AES Pinal Central Storage H&H
24928-5887 SE TV Highway
24929-Tualatin Blue Lot
24930-Faherty Utility Easement
24931-Kaiser Auto
24932-Willow Creek Affordable Housing
24933-Keamuku Solar
24934-Givens Park Court
24935.03-HV Public Works Yard
24936-DDSD-Alice Ott MS-Track Improvements
24937-DDSD-Floyd Light MS-Track Improvements
24938-DDSD-Ron Russell MS-Track Improvements
24939-127 Ash Street
2494#-Washington County GIS Support DELETE
24940-Fort Point Mixed Use
24941-Paulson Mixed Use
24942-AES Moses Lake
24943-AES Walla Walla
24944-Yamhill Code Updates
24945-Damerow Ford
24946-Manzanita Comprehensive Plan
24947-GIS Services Support (County Wide)
24948-Nyberg Creek Trail
24949-Scappoose Veterans Park Ped. Bridge
24951-Prineville EOA and UGB Expansion
24953-JTS-312 E. 2nd Street
24954-Martinez Addition
24955-Tillamook Coast RV Park
24956-WaCo Scheduling
24957-Banks-Master Plan
24959-Portland Golf Club
24960-3508 NW Loriann Dr Subdivision
24961-WaCo Ops-White Creek Culvert
24962-Lewis Residence Germantown
24963-Dick's Hillsboro Hyundai
24964-Milwaukie-RFFA Grant
24965-AES Petroglyph
24966-AES Pajarito
24967-Canby Comp Plan-FY 24-25
24968-WLWVSD Small Schools Task Force
24969-MRSD-Molalla River Midde School
24970-Tualatin Storm MH Investigation
24971-WPR-Boones Ferry Park Feasibility
24972-Silverton Comp Plan
24973-Gervais SD Pre-Design
24975-AES Kaawanui
24976-Medford TSAP
24977-Dallas TSP
24978-Coquille GIS
24979-FGSD Harvey Clarke ES
24980-FGSD Dilley ES Playground
24981-FGSD Echo Shaw ES
24982-North Plains Concept Plan
24983-JTS-Canemah Rd Subdivision
24984-Warrenton Zone Change
24986-Boardman Admin Services
24987-OCSD-Elementary Schools
24988-BRIC-Mt. Angel School District
24989-AES Mana PV BESS
25000-The Thing That Should Not Be
25001-AES Kaawanui PV BESS
25002-Memorial Park Pickleball
24952.50 NP On-Call General Engineering 2024-2025
